url,name,description,source,location,domain
https://www.generalcatalyst.com/companies/aatmunn,Aatmunn,Enterprise backed company,https://www.generalcatalyst.com/portfolio,North America,Technology
https://www.generalcatalyst.com/companies/adonis,Adonis,Health company,https://www.generalcatalyst.com/portfolio,North America,Health
https://www.generalcatalyst.com/companies/afterhour,Afterhour,Afterhour is a consumer-focused company backed since 2024.,https://www.generalcatalyst.com/portfolio,North America,Consumer
https://www.generalcatalyst.com/companies/agora,Agora,Fintech company,https://www.generalcatalyst.com/portfolio,North America,Fintech
https://www.generalcatalyst.com/companies/aidoc,Aidoc,"Aidoc is a pioneering force in Clinical AI, empowering healthcare teams to optimize patient treatment and improve clinical outcomes and economic value. Built on Aidoc's proprietary aiOS™, our solutions analyze and aggregate medical data to help care teams operationalize the unexpected while maintaining a patient-first focus. With 20+ FDA-cleared solutions and adoption in over 1,500 hospitals worldwide, Aidoc leads the industry in providing real-time decision support for physicians.",https://www.generalcatalyst.com/portfolio,Europe,Health
https://www.generalcatalyst.com/companies/aim,AIM,Artificial Intelligence company,https://www.generalcatalyst.com/portfolio,North America,Artificial Intelligence
https://www.airbnb.com/,Airbnb,"An online marketplace for lodging, primarily homestays, and tourism experiences.",https://www.generalcatalyst.com/portfolio,North America,"Hospitality, Travel, and Tourism"
https://www.airslate.com/,AirSlate,AirSlate is a workflow automation platform that helps businesses streamline document processes.,https://www.generalcatalyst.com/portfolio,North America,Workflow Automation
https://www.generalcatalyst.com/companies/alinea-health,Alinea Health,Alinea Health is a company in the healthcare industry.,https://www.generalcatalyst.com/portfolio,South America,Healthcare
https://www.allego.com/,Allego,Allego provides a sales learning and enablement platform that ensures sales teams have the skills and knowledge needed to close deals in the field.,https://www.generalcatalyst.com/portfolio,North America,Sales Learning and Enablement Platform
https://www.generalcatalyst.com/companies/almanac,Almanac Labs,"Almanac Labs is a company backed since 2019 by General Catalyst, operating in North America.",https://www.generalcatalyst.com/portfolio,North America,Technology/Software Development
https://www.generalcatalyst.com/companies/alpha-9-oncology,Alpha-9 Oncology,Alpha-9 Oncology is a health company backed since 2024.,https://www.generalcatalyst.com/portfolio,North America,Health
https://www.generalcatalyst.com/companies/alsym-energy,Alsym Energy,"Alsym Energy develops safer, more affordable, and environmentally friendly batteries.",https://www.generalcatalyst.com/portfolio,North America,Climate & Energy
